address,spx
0xdb882c5bf8bd9b32532ed6cee18e9056f3b4a574,91374.18180641
0x3a3c34ab906b5c0b1cf34dca3965e54bd2c43050,91077.02996627
0x46767c8c02d36ade528cad6a1bfb4d62ff66a1f1,90000.66127051
0xb830777441a8d8a7185fd2491ee6c66e79b7ad48,85670.32396685
0xe09d3fb96691a5ca9d754db978677b970be3a231,85511.74155392
0x13b6d489b58c0bdd376a5fdf0913ff41263537d1,84850.42982815
0xb2ce5a9b147ba6d2a2d95c9be07e0458a9820928,83746.7564
0x702f18d5541d12fcee217a0891ca90a9c24ed80c,79603.46265522
0xc06c49e35cd2fa0623497bd93239449088690c30,75508.97976552
0x8908f3b4e7ad10355af0834b63fa73e7426c5149,75356.42874829
0xb836f786dd6690d896e95a27ae5490fe93fefcff,74242.41630409
0x493210103ace77acd645dfb0c616d20cab83e947,71266.7530331
0x850596444bb1921ef60e647f0951f766c6359c83,70011.80893608
0x60af1c4d843093b8196d1ada2aee77664ac8b4b2,70000.03329178
0x8d64898e2f89e3ca1fcd5684882812eb4960c985,69420
0xe5443bfe9a0b4c67c80aea056cfbd76018739654,69000
0xc2abd43e2d24642a03267c5690e1916547d67912,67880.16815713
0xcef9b5c629664b415dc8d456b5f139154f8d8f0c,66555.18691132
0xe55daca9c71fd10adde4639e09f71749ed441933,64828.3271208
0x770442a45a16f1f697b01a052a4d5560e6f78452,64721.60731118
0x9b6ff64363858a023adcac30736b1cbe56bea065,64178.61043637
0x2b3a3e9585ae70b7752b324fa195021a9855d58e,63612.87238253
0x55bbacbe37d989c890e1b57588b5d72ab0da6b43,61313.19007149
0xf58dbd74f26e4bdbcf2a26e2f848e8348530f0e4,59295.78247586
0xff8902ac24eac4f4dd4b14200536772f3d671363,58052.2945166
0xca7b6d0e84a624d6a719fb12f441747201dba51c,56546.30539
0x2520774ef0bf4bafdd44b9e22de8e9e8ead936ae,50954.56241577
0xe0d68f1bf9d2c388429f91ee0249ba19d50c0a7e,50942.10560338
0x56c58c17605838d08dd45aa46a70ead919372eeb,50000
0x55437fb95dad1eb8859f6ba8c0ca0d8d3b11920c,48932.19501846
0x8174c4ef0ae6c4f253ac796b00752416e82cbed9,47843.72782305
0xbe026ae67432efa9ad85b897a70e0bab0dcb1cea,46864.8258409
0xd78d7f8f38a9ad494c147da73c24f7862045b8db,45817.63641374
0xba39bf5db0cc53337ffbf4ab2bd2c014f12d0ae2,45545.54302835
0xe6d25f097f7ddbf22b71406f6beac259cc87f783,45000.7178161
0xd502ba26510702f08150cd7d6ff00aef786d4885,44956.75885246
0x84d4435b5a3c2cf42c5c7b513983f553df1c17c3,44542.91660916
0xd41e55befb6861c94d5ac9e6df4db80d2549c3c8,44230.12637412
0xe4c71eddb01e330e72c94e10c61554143f49952f,44063.3
0x6c715c0df19f07cfa79b76e7ef68ec21c7cdfda3,43533.30443306
0x6d970c5d3fb2cf589398148839b9833c06640b64,42851.11903789
0xbd384906345cdcec6c517b3b723d6b1d2651948f,42000
0x01e679b8d3273490d88855fcc57e072c5bac1de5,41618.62305963
0x2e9431a49407c9026343b1ce3d40a70952ec07d3,40893.68226858
0xc106e01f6406a0e579d721a4002d072686f14219,40612.85368826
0x8931d487f8f713ec29ef7cccf1b3b9f08ab76e56,40500.2332146
0x23699ed9476008ccd5cc40a2a203bdcd8777a72b,40000.73212712
0x1208ec710852c271526a2db652074c1762f64d2b,40000
0x78f9eaf5a9e1a4fc58c6778bcc6a383b26f8fc53,39350.4072
0xc527f87ebe412d0ad727a686a2b07f839d2f9616,38332.92941642
0xfc6d2ddd896656fd4f4a76083e5c7cf53a87e2d0,38000
0x5140e648e5055b27ef43499264d20a143688138c,37676.05096
0xf9c6f72276bb358e0708fb1162212dbefef0dff7,36592.79644248
0x120200bc38df4cbd1667644848aa74cf896dbd37,36046.18745673
0x4e10fe60b48fabc9931b8b567b45724bd10d924b,35222.70601791
0x25861512b2e293c6f0f301820915ecb36749459a,34379.70035976
0x251e77f8b5b44484807528e18e9479a1e4c314d1,33486.00945973
0x48e180b4ece7478511bdc7479838a142cbc07879,32195.29602318
0x0322fc4ade4c234a544f466c6276b0b0547f8e90,31837.79343198
0xc09b682cfdb3df4822178fc81393403f5b20e149,31712.39042931
0x9d6db13af8dfdec6a44ef795a3eaf154417ff7e9,30384.36165818
0x1850428eb77616ca9bdf366cadfaadc76a2e1eb2,30158.6946122
0xce11d93f58310d5a7a087199ffd2614cb0d4f488,29144.78173051
0x343c80183e14183024d3a2c822612b78c94ed2d9,28890.89352462
0x5cd3449ba84a2feedc4ee837ef934b46c378823e,28803.2251562
0x8486df0c7cdba563e0a91172e7a7f432d85694c2,26744.45316029
0x8d4bcd1b0d3c1aaae7a4215a11775ae1c7aa9c74,26282
0x234afb419a5886c39dfcdf04e772252bfb9c1c7c,25768.05934367
0x470f42255981588039aa8344384b185bced9c6fa,25747.26491389
0x4d720a0235eeb7aef45430dda2b9f337ae7efe33,25001.67229659
0xe00ed6e41270c3a248d4179b87c5f8695ae840cc,25000
0x6a675a019781c7c1257dd8d38e211e4c02b72530,25000
0x991fad0014d43ff26ae85e73808850407079a371,24797.15319265
0x18ec1677d8fea7f0b6d4562c188fee1edd21a6e9,24495.12137309
0xa88e843a20e84267b3a9e8e5898684b9913f6e00,23522.26661074
0xb3d229eb7fb98e497ab870b93de6e4f26c07d4cd,23483.36770965
0xcabdb00bc48a6dd96f5b373e0f2a5c4462261e21,23365.0961074
0xc600b2cfd4938876fd0f236cf34a95acf09a4d5f,23000
0xc8dc6dfc63f2051b6a660b23d8e96002f9111dd3,22930.2246792
0x2a54adc5a26ce16df2f654126bd27acba050e8dd,21906.21033528
0x0696efe8c3db6e7d8db2ebcee731c73246dcf1bb,21403.90477885
